Code	Struct	Label
8000/0	title	"Neoplasm, benign"
8000/0	sub	"Tumor, benign"
8000/0	sub	"Unclassified tumor, benign"
8000/1	title	"Neoplasm, uncertain whether benign or malignant"
8000/1	sub	"Neoplasm, NOS"
8000/1	sub	"Tumor, NOS"
8000/1	sub	"Unclassified tumor, uncertain whether benign or malignant"
8000/1	sub	"Unclassified tumor, borderline malignancy"
8000/3	title	"Neoplasm, malignant"
8000/3	sub	"Tumor, malignant, NOS"
8000/3	sub	Malignancy
8000/3	sub	Cancer
8000/3	sub	"Unclassified tumor, malignant"
8000/3	sub	"Blastoma, NOS"
8000/6	title	"Neoplasm, metastatic"
8000/6	sub	"Neoplasm, secondary"
8000/6	sub	"Tumor, metastatic"
8000/6	sub	"Tumor, secondary"
8000/6	sub	Tumor embolus
8000/9	title	"Neoplasm, malignant, uncertain whether primary or metastatic"
8000/9	sub	"Unclassified tumor, malignant, uncertain whether primary or metastatic"
8001/0	title	"Tumor cells, benign"
8001/1	title	"Tumor cells, uncertain whether benign or malignant"
8001/1	sub	"Tumor cells, NOS"
8001/3	title	"Tumor cells, malignant"
8002/3	title	"Malignant tumor, small cell type"
8003/3	title	"Malignant tumor, giant cell type"
8004/3	title	"Malignant tumor, spindle cell type"
8004/3	sub	"Malignant tumor, fusiform cell type"
8005/0	title	"Clear cell tumor, NOS"
8005/3	title	"Malignant tumor, clear cell type"
8010/0	title	"Epithelial tumor, benign"
8010/2	title	"Carcinoma in situ, NOS"
8010/2	sub	"Intraepithelial carcinoma, NOS"
8010/3	title	"Carcinoma, NOS"
8010/3	sub	"Epithelial tumor, malignant"
8010/6	title	"Carcinoma, metastatic, NOS"
8010/6	sub	Secondary carcinoma
8010/9	title	Carcinomatosis
8011/0	title	"Epithelioma, benign"
8011/3	title	"Epithelioma, malignant"
8011/3	sub	"Epithelioma, NOS"
8012/3	title	"Large cell carcinoma, NOS"
8013/3	title	Large cell neuroendocrine carcinoma
8014/3	title	Large cell carcinoma with rhabdoid phenotype
8015/3	title	Glassy cell carcinoma
8020/3	title	"Carcinoma, undifferentiated, NOS"
8021/3	title	"Carcinoma, anaplastic, NOS"
8022/3	title	Pleomorphic carcinoma
8030/3	title	Giant cell and spindle cell carcinoma
8031/3	title	Giant cell carcinoma
8032/3	title	"Spindle cell carcinoma, NOS"
8033/3	title	Pseudosarcomatous carcinoma
8033/3	sub	Sarcomatoid carcinoma
8034/3	title	Polygonal cell carcinoma
8035/3	title	Carcinoma with osteoclast-like giant cells
8040/0	title	"Tumorlet, benign"
8040/1	title	"Tumorlet, NOS"
8041/3	title	"Small cell carcinoma, NOS"
8041/3	sub	Reserve cell carcinoma
8041/3	sub	Round cell carcinoma
8041/3	sub	Small cell neuroendocrine carcinoma
8042/3	title	Oat cell carcinoma
8043/3	title	"Small cell carcinoma, fusiform cell"
8044/3	title	"Small cell carcinoma, intermediate cell"
8045/3	title	Combined small cell carcinoma
8045/3	sub	Mixed small cell carcinoma
8045/3	sub	Combined small cell-large cell carcinoma
8045/3	sub	Combined small cell-adenocarcinoma
8045/3	sub	Combined small cell-squamous cell carcinoma
8046/3	title	Non-small cell carcinoma
8050/0	title	"Papilloma, NOS"
8050/2	title	Papillary carcinoma in situ
8050/3	title	"Papillary carcinoma, NOS"
8051/0	title	Verrucous papilloma
8051/3	title	"Verrucous carcinoma, NOS"
8051/3	sub	Condylomatous carcinoma
8051/3	sub	Verrucous squamous cell carcinoma
8051/3	sub	Verrucous epidermoid carcinoma
8051/3	sub	Warty carcinoma
8052/0	title	"Squamous cell papilloma, NOS"
8052/0	sub	Squamous papilloma
8052/0	sub	Keratotic papilloma
8052/2	title	"Papillary squamous cell carcinoma,  non-invasive"
8052/2	sub	Papillary squamous cell carcinoma in situ
8052/3	title	Papillary squamous cell carcinoma
