icdo3_histology_code,icdo3_histology_code_name
8000/0,"Neoplasm, benign"
8000/1,"Neoplasm, uncertain whether benign or malignant"
8000/3,"Neoplasm, malignant"
8000/6,"Neoplasm, metastatic"
8000/9,"Neoplasm, malignant, uncertain whether primary or metastatic"
8001/0,"Tumor cells, benign"
8001/1,"Tumor cells, uncertain whether benign or malignant"
8001/3,"Tumor cells, malignant"
8002/3,"Malignant tumor, small cell type"
8003/3,"Malignant tumor, giant cell type"
8004/3,"Malignant tumor, spindle cell type"
8005/0,"Clear cell tumor, NOS"
8005/3,"Malignant tumor, clear cell type"
8010/0,"Epithelial tumor, benign"
8010/2,"Carcinoma in situ, NOS"
8010/3,"Carcinoma, NOS"
8010/6,"Carcinoma, metastatic, NOS"
8010/9,Carcinomatosis
8011/0,"Epithelioma, benign"
8011/3,"Epithelioma, malignant"
8012/3,"Large cell carcinoma, NOS"
8013/3,"Large cell neuroendocrine carcinoma"
8014/3,"Large cell carcinoma with rhabdoid phenotype"
8015/3,"Glassy cell carcinoma"
8020/3,"Carcinoma, undifferentiated, NOS"
8021/3,"Carcinoma, anaplastic, NOS"
8022/3,"Pleomorphic carcinoma"
8030/3,"Giant cell and spindle cell carcinoma"
8031/3,"Giant cell carcinoma"
8032/3,"Spindle cell carcinoma, NOS"
8033/3,"Pseudosarcomatous carcinoma"
8034/3,"Polygonal cell carcinoma"
8035/3,"Carcinoma with osteoclast-like giant cells"
8040/0,"Tumorlet, benign"
8040/1,"Tumorlet, NOS"
8041/3,"Small cell carcinoma, NOS"
8042/3,"Oat cell carcinoma"
8043/3,"Small cell carcinoma, fusiform cell"
8044/3,"Small cell carcinoma, intermediate cell"
8045/3,"Combined small cell carcinoma"
8046/3,"Non-small cell carcinoma"
8050/0,"Papilloma, NOS"
8050/2,"Papillary carcinoma in situ"
8050/3,"Papillary carcinoma, NOS"
8051/0,"Verrucous papilloma"
8051/3,"Verrucous carcinoma, NOS"
8052/0,"Squamous cell papilloma, NOS"
8052/2,"Papillary squamous cell carcinoma, non-invasive"
8052/3,"Papillary squamous cell carcinoma"
8053/0,"Squamous cell papilloma, inverted"
8060/0,"Squamous papillomatosis"
8070/2,"Squamous cell carcinoma in situ, NOS"
8070/3,"Squamous cell carcinoma, NOS"
8070/6,"Squamous cell carcinoma, metastatic, NOS"
8071/3,"Squamous cell carcinoma, keratinizing, NOS"
8072/3,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"
8073/3,"Squamous cell carcinoma, small cell, nonkeratinizing"
8074/3,"Squamous cell carcinoma, spindle cell"
8075/3,"Squamous cell carcinoma, adenoid"
8076/2,"Squamous cell carcinoma in situ with questionable stromal invasion"
8076/3,"Squamous cell carcinoma, microinvasive"
8077/0,"Squamous intraepithelial neoplasia, low grade"
8077/2,"Squamous intraepithelial neoplasia, high grade"
8078/3,"Squamous cell carcinoma with horn formation"
8080/2,"Queyrat erythroplasia"
8081/2,"Bowen disease"
8082/3,"Lymphoepithelial carcinoma"
8083/3,"Basaloid squamous cell carcinoma"
8084/3,"Squamous cell carcinoma, clear cell type"
8090/1,"Basal cell tumor"
8090/3,"Basal cell carcinoma, NOS"
8091/3,"Multifocal superficial basal cell carcinoma"
8092/3,"Infiltrating basal cell carcinoma, NOS"
8093/3,"Basal cell carcinoma, fibroepithelial"
8094/3,"Basosquamous carcinoma"
8095/3,"Metatypical carcinoma"
8096/0,"Intraepidermal epithelioma of Jadassohn"
8097/3,"Basal cell carcinoma, nodular"
8098/3,"Adenoid basal carcinoma"
8100/0,Trichoepithelioma
8101/0,Trichofolliculoma
8102/0,Trichilemmoma
8102/3,Trichilemmocarcinoma
8103/0,"Pilar tumor"
8110/0,"Pilomatrixoma, NOS"
8110/3,"Pilomatrix carcinoma"
8120/0,"Transitional cell papilloma, benign"
8120/1,"Urothelial papilloma, NOS"
8120/2,"Transitional cell carcinoma in situ"
8120/3,"Transitional cell carcinoma, NOS"
8121/0,"Schneiderian papilloma, NOS"
8121/1,"Transitional cell papilloma, inverted, NOS"
8121/3,"Schneiderian carcinoma"
8122/3,"Transitional cell carcinoma, spindle cell"
8123/3,"Basaloid carcinoma"
8124/3,"Cloacogenic carcinoma"
8130/1,"Papillary transitional cell neoplasm of low malignant potential"
8130/2,"Papillary transitional cell carcinoma, non-invasive"
8130/3,"Papillary transitional cell carcinoma"
8131/3,"Transitional cell carcinoma, micropapillary"
8140/0,"Adenoma, NOS"
8140/1,"Atypical adenoma"
8140/2,"Adenocarcinoma in situ, NOS"
8140/3,"Adenocarcinoma, NOS"
8140/6,"Adenocarcinoma, metastatic, NOS"
8141/3,"Scirrhous adenocarcinoma"
8142/3,"Linitis plastica"
8143/3,"Superficial spreading adenocarcinoma"
8144/3,"Adenocarcinoma, intestinal type"
8145/3,"Carcinoma, diffuse type"
8146/0,"Monomorphic adenoma"
8147/0,"Basal cell adenoma"
8147/3,"Basal cell adenocarcinoma"
8148/0,"Glandular intraepithelial neoplasia, low grade"
